21,00;0,84;-0,55;0,00
21,10;0,78;-0,63;0,00
21,20;0,71;-0,70;0,00
21,30;0,64;-0,77;0,00
21,40;0,56;-0,83;0,00
21,50;0,47;-0,88;0,00
21,60;0,38;-0,92;0,00
21,70;0,29;-0,96;0,00
21,80;0,19;-0,98;0,00
21,90;0,09;-1,00;0,00
22,00;-0,01;-1,00;0,00
22,10;-0,11;-0,99;0,00
22,20;-0,21;-0,98;0,00
22,30;-0,30;-0,95;0,00
22,40;-0,40;-0,92;0,00
22,50;-0,49;-0,87;0,00
22,60;-0,57;-0,82;0,00
22,70;-0,65;-0,76;0,00
22,80;-0,72;-0,69;0,00
22,90;-0,79;-0,61;0,00
23,00;-0,85;-0,53;0,00
23,10;-0,90;-0,45;0,00
23,20;-0,94;-0,35;0,00
23,30;-0,97;-0,26;0,00
23,40;-0,99;-0,16;0,00
23,50;-1,00;-0,06;0,00
23,60;-1,00;0,04;0,00
23,70;-0,99;0,14;0,00
23,80;-0,97;0,24;0,00
23,90;-0,94;0,33;0,00
24,00;-0,91;0,42;0,00
24,10;-0,86;0,51;0,00
24,20;-0,80;0,60;0,00
24,30;-0,74;0,67;0,00
24,40;-0,67;0,74;0,00
24,50;-0,59;0,81;0,00
24,60;-0,51;0,86;0,00
24,70;-0,42;0,91;0,00
24,80;-0,33;0,95;0,00
24,90;-0,23;0,97;0,00
25,00;-0,13;0,99;0,00
25,10;-0,03;1,00;0,00
25,20;0,07;1,00;0,00
25,30;0,17;0,99;0,00
25,40;0,26;0,96;0,00
25,50;0,36;0,93;0,00
25,60;0,45;0,89;0,00
25,70;0,54;0,84;0,00
25,80;0,62;0,79;0,00
25,90;0,69;0,72;0,00
26,00;0,76;0,65;0,00
26,10;0,82;0,57;0,00
26,20;0,88;0,48;0,00
26,30;0,92;0,39;0,00
26,40;0,95;0,30;0,00
26,50;0,98;0,20;0,00
26,60;0,99;0,10;0,00
26,70;1,00;0,00;0,00
26,80;1,00;-0,10;0,00
26,90;0,98;-0,20;0,00
27,00;0,96;-0,29;0,00
27,10;0,92;-0,39;0,00
27,20;0,88;-0,48;0,00
27,30;0,83;-0,56;0,00
27,40;0,77;-0,64;0,00
27,50;0,70;-0,71;0,00
27,60;0,62;-0,78;0,00
27,70;0,54;-0,84;0,00
27,80;0,46;-0,89;0,00
27,90;0,37;-0,93;0,00
28,00;0,27;-0,96;0,00
28,10;0,17;-0,98;0,00
28,20;0,07;-1,00;0,00
28,30;-0,03;-1,00;0,00
28,40;-0,13;-0,99;0,00
28,50;-0,22;-0,97;0,00
28,60;-0,32;-0,95;0,00
28,70;-0,41;-0,91;0,00
28,80;-0,50;-0,86;0,00
28,90;-0,59;-0,81;0,00
29,00;-0,66;-0,75;0,00
29,10;-0,73;-0,68;0,00
29,20;-0,80;-0,60;0,00
29,30;-0,86;-0,52;0,00
29,40;-0,90;-0,43;0,00
29,50;-0,94;-0,34;0,00
29,60;-0,97;-0,24;0,00
29,70;-0,99;-0,14;0,00
29,80;-1,00;-0,05;0,00
29,90;-1,00;0,05;0,00
30,00;-0,99;0,15;0,00
